,Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
0,19591,01.702.122/0001-92,,FRIGORIFICO VALE DO SAPUCAI LTDA - EM RECUPERACAO JUDICIAL,Sim,,46477: Itajubá,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
1,21267,01.838.723/0096-98,,BRF S.A.,Não,,91774: Mirassol D´Oeste,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
2,35489,02.916.265/0004-02,,JBS S/A,Sim,,90514: Campo Grande,MS,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
3,35490,02.916.265/0005-93,,JBS S/A,Sim,,93734: Goiânia,GO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
4,35492,02.916.265/0010-50,,JBS S/A,Sim,,90352: Barra do Garças,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
5,35494,02.916.265/0016-46,,JBS S/A,Sim,,89893: Araputanga,MT,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
6,35496,02.916.265/0024-56,,JBS S/A,Sim,,46876: Iturama,MG,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
7,35499,02.916.265/0037-70,,JBS S/A,Sim,,132: Vilhena,RO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
8,35500,02.916.265/0038-51,,JBS S/A,Não,,94: Cacoal,RO,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
9,35501,02.916.265/0040-76,,JBS S/A,Não,,1392: Rio Branco,AC,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
10,35502,02.916.265/0046-61,,JBS S/A,Sim,,76910: Maringá,PR,47: SOCIEDADE ANÔNIMA ABERTA,2: null,,,1011201: FRIGORÍFICO - ABATE DE BOVINOS,,Sim
